
cmd/sc_square.svg,glabels-box.svg,16x16/actions,16,16,0
cmd/sc_alignverticalcenter.svg,glabels-center-horiz.svg,16x16/actions,16,16,90
cmd/sc_alignverticalcenter.svg,glabels-center-vert.svg,16x16/actions,16,16,0
cmd/sc_circle.svg,glabels-ellipse.svg,16x16/actions,16,16,0
cmd/lc_square.svg,glabels-box.svg,22x22/actions,22,22,0
cmd/lc_circle.svg,glabels-ellipse.svg,22x22/actions,22,22,0
cmd/lc_alignbottom.svg,glabels-valign-text-bottom.svg,22x22/actions,22,22,0
cmd/lc_alignverticalcenter.svg,glabels-valign-text-middle.svg,22x22/actions,22,22,0
cmd/lc_aligntop.svg,glabels-valign-text-top.svg,22x22/actions,22,22,0
cmd/lc_dbviewtables.svg,glabels-view-grid.svg,22x22/actions,22,22,0
cmd/lc_defaultbullet.svg,glabels-view-list.svg,22x22/actions,22,22,0
cmd/lc_alignhorizontalcenter.svg,glabels-align-text-center.svg,24x24/actions,24,24,0
cmd/lc_alignleft.svg,glabels-align-text-left.svg,24x24/actions,24,24,0
cmd/lc_alignright.svg,glabels-align-text-right.svg,24x24/actions,24,24,0
cmd/lc_square.svg,glabels-box.svg,24x24/actions,24,24,0
cmd/lc_circle.svg,glabels-ellipse.svg,24x24/actions,24,24,0
cmd/lc_alignbottom.svg,glabels-valign-text-bottom.svg,24x24/actions,24,24,0
cmd/lc_alignverticalcenter.svg,glabels-valign-text-middle.svg,24x24/actions,24,24,0
cmd/lc_aligntop.svg,glabels-valign-text-top.svg,24x24/actions,24,24,0
cmd/32/expandpage.svg,glabels-collated.svg,32x32/actions,32,32,0
cmd/32/rect_rounded_unfilled.svg,glabels-label-orientation-horiz.svg,32x32/actions,32,32,0
cmd/32/rect_rounded_unfilled.svg,glabels-label-orientation-vert.svg,32x32/actions,32,32,90
cmd/32/print.svg,glabels-print.svg,32x32/actions,32,32,0
cmd/32/editdoc.svg,glabels-edit.svg,48x48/actions,48,48,0
cmd/32/mergedocuments.svg,glabels-merge.svg,48x48/actions,48,48,0
cmd/32/print.svg,glabels-print.svg,48x48/actions,48,48,0
cmd/32/controlproperties.svg,glabels-properties.svg,48x48/actions,48,48,0
cmd/32/toggleformula.svg,glabels-variables.svg,48x48/actions,48,48,0
